work_id,author_id,author_display_name,author_orcid,author_position,is_corresponding,institution_id,institution_display_name,country_code
https://openalex.org/W4417333694,,Paweł Zając,,first,1,https://openalex.org/I11923345,Wrocław University of Science and Technology,PL
https://openalex.org/W4417336147,,Yousif J. Shwetar,,first,1,,,
https://openalex.org/W4417336147,,David S. Lalush,,middle,0,,,
https://openalex.org/W4417336147,,Alice Y. Zhang,,middle,0,,,
https://openalex.org/W4417336147,,J. Jason McAnany,,middle,0,,,
https://openalex.org/W4417336147,,Brett G. Jeffrey,,middle,0,,,
https://openalex.org/W4417336147,,Melissa A. Haendel,,last,0,,,
https://openalex.org/W7115194348,,Qifan Zhao,,first,1,https://openalex.org/I22716506,Lanzhou University of Technology,CN
https://openalex.org/W7115194348,,Yuefei Liu,,middle,0,,,
https://openalex.org/W7115194348,,Xueping Fan,,last,0,,,
https://openalex.org/W4417303766,https://openalex.org/A5042712096,Hossam S. Salama,https://orcid.org/0000-0003-2911-2172,first,0,https://openalex.org/I86310350,Aswan University,EG
https://openalex.org/W4417303766,https://openalex.org/A5083466512,Abdelfatah Ali,https://orcid.org/0000-0002-6616-5452,middle,0,https://openalex.org/I199440890,American University of Sharjah,AE
https://openalex.org/W4417303766,https://openalex.org/A5075221999,Karar Mahmoud,https://orcid.org/0000-0002-6729-6809,last,0,https://openalex.org/I86310350,Aswan University,EG
https://openalex.org/W4417316709,,Sahithi Angara,,first,1,https://openalex.org/I84475105,Embry–Riddle Aeronautical University,US
https://openalex.org/W4417316709,,Laxima Niure Kandel,,middle,0,https://openalex.org/I84475105,Embry–Riddle Aeronautical University,US
https://openalex.org/W4417316709,,Raju Dhakal,,last,0,https://openalex.org/I84475105,Embry–Riddle Aeronautical University,US
https://openalex.org/W4417331893,,Jie Zhu,,first,1,https://openalex.org/I4210144214,Jiangsu University of Technology,CN
https://openalex.org/W4417331893,,Chengye Liu,,last,0,https://openalex.org/I4210144214,Jiangsu University of Technology,CN
https://openalex.org/W4417332621,,Oussama Azzouzi,,first,1,https://openalex.org/I4210091172,National Higher School of Statistics and Applied Economy,DZ
https://openalex.org/W4417332621,,Mohamed Anane,,middle,0,https://openalex.org/I3133097027,Higher National Veterinary School,DZ
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
