work_id,author_id,author_display_name,author_orcid,author_position,is_corresponding,institution_id,institution_display_name,country_code
https://openalex.org/W4417333694,,Paweł Zając,,first,1,https://openalex.org/I11923345,Wrocław University of Science and Technology,PL
https://openalex.org/W4417336147,,Yousif J. Shwetar,,first,1,,,
https://openalex.org/W4417336147,,David S. Lalush,,middle,0,,,
https://openalex.org/W4417336147,,Alice Y. Zhang,,middle,0,,,
https://openalex.org/W4417336147,,J. Jason McAnany,,middle,0,,,
https://openalex.org/W4417336147,,Brett G. Jeffrey,,middle,0,,,
https://openalex.org/W4417336147,,Melissa A. Haendel,,last,0,,,
https://openalex.org/W7115194348,,Qifan Zhao,,first,1,https://openalex.org/I22716506,Lanzhou University of Technology,CN
https://openalex.org/W7115194348,,Yuefei Liu,,middle,0,,,
https://openalex.org/W7115194348,,Xueping Fan,,last,0,,,
https://openalex.org/W4417303766,https://openalex.org/A5042712096,Hossam S. Salama,https://orcid.org/0000-0003-2911-2172,first,0,https://openalex.org/I86310350,Aswan University,EG
https://openalex.org/W4417303766,https://openalex.org/A5083466512,Abdelfatah Ali,https://orcid.org/0000-0002-6616-5452,middle,0,https://openalex.org/I199440890,American University of Sharjah,AE
https://openalex.org/W4417303766,https://openalex.org/A5075221999,Karar Mahmoud,https://orcid.org/0000-0002-6729-6809,last,0,https://openalex.org/I86310350,Aswan University,EG
https://openalex.org/W4417316709,,Sahithi Angara,,first,1,https://openalex.org/I84475105,Embry–Riddle Aeronautical University,US
https://openalex.org/W4417316709,,Laxima Niure Kandel,,middle,0,https://openalex.org/I84475105,Embry–Riddle Aeronautical University,US
https://openalex.org/W4417316709,,Raju Dhakal,,last,0,https://openalex.org/I84475105,Embry–Riddle Aeronautical University,US
https://openalex.org/W4417331893,,Jie Zhu,,first,1,https://openalex.org/I4210144214,Jiangsu University of Technology,CN
https://openalex.org/W4417331893,,Chengye Liu,,last,0,https://openalex.org/I4210144214,Jiangsu University of Technology,CN
https://openalex.org/W4417332621,,Oussama Azzouzi,,first,1,https://openalex.org/I4210091172,National Higher School of Statistics and Applied Economy,DZ
https://openalex.org/W4417332621,,Mohamed Anane,,middle,0,https://openalex.org/I3133097027,Higher National Veterinary School,DZ
https://openalex.org/W4417332621,,Mohamed Chahine Ghanem,,middle,0,,,
https://openalex.org/W4417332621,,Yassine Himeur,,middle,0,https://openalex.org/I132806614,University of Dubai,AE
https://openalex.org/W4417332621,,Hamza Kheddar,,last,0,,,
https://openalex.org/W4417333697,,Grzegorz Trzmiel,,first,1,https://openalex.org/I46597724,Poznań University of Technology,PL
https://openalex.org/W4417333697,,Damian Głuchy,,middle,0,https://openalex.org/I46597724,Poznań University of Technology,PL
https://openalex.org/W4417333697,,Stanisław Mikulski,,middle,0,https://openalex.org/I46597724,Poznań University of Technology,PL
https://openalex.org/W4417333697,,Nikodem Sowinski,,middle,0,https://openalex.org/I46597724,Poznań University of Technology,PL
https://openalex.org/W4417333697,,Leszek Kasprzyk,,last,0,https://openalex.org/I46597724,Poznań University of Technology,PL
https://openalex.org/W7115165393,,"Lindgren, Eric B.",,first,1,https://openalex.org/I161127581,Universidade Federal Fluminense,BR
https://openalex.org/W7115170725,,"Lindgren, Eric B.",,first,1,https://openalex.org/I161127581,Universidade Federal Fluminense,BR
https://openalex.org/W7115179394,,Tallha Akram,,first,1,,,
https://openalex.org/W7115179394,,Omer Chughtai,,middle,0,,,
https://openalex.org/W7115179394,,Shabbab Ali Algamd,,middle,0,,,
https://openalex.org/W7115179394,,Nadia Nawaz,,middle,0,,,
https://openalex.org/W7115179394,,Ghada Atteia,,middle,0,,,
https://openalex.org/W7115179394,,Sultan Alanazi,,last,0,,,
https://openalex.org/W7115196190,,Tallha Akram,,first,1,,,
https://openalex.org/W7115196190,,Omer Chughtai,,middle,0,,,
https://openalex.org/W7115196190,,Shabbab Ali Algamd,,middle,0,,,
https://openalex.org/W7115196190,,Nadia Nawaz,,middle,0,,,
https://openalex.org/W7115196190,,Ghada Atteia,,middle,0,,,
https://openalex.org/W7115196190,,Sultan Alanazi,,last,0,,,
https://openalex.org/W4417291659,https://openalex.org/A5043625564,Zohreh Khoshraftar,,first,0,,,
https://openalex.org/W4417291659,https://openalex.org/A5072809868,Mohammad Yazdi,https://orcid.org/0000-0001-5023-2537,middle,0,,,
https://openalex.org/W4417291659,https://openalex.org/A5051565697,M. R. Mosavi,https://orcid.org/0000-0002-2389-644X,middle,0,,,
https://openalex.org/W4417291659,https://openalex.org/A5071414031,Ahad Ghaemi,https://orcid.org/0000-0003-0390-4083,last,0,,,
https://openalex.org/W4417296176,https://openalex.org/A5101733321,Junyi Gai,https://orcid.org/0000-0002-1722-7725,first,0,https://openalex.org/I121691239,Beihua University,CN
https://openalex.org/W4417296176,https://openalex.org/A5100985794,Xujiao Yang,https://orcid.org/0009-0007-5741-828X,middle,1,https://openalex.org/I121691239,Beihua University,CN
